"text","toxic","severe_toxic","obscene","threat","insult","identity_hate"
"Arzel, watch your back on the internet. It doesn't make racist WiKKKipedians like you are I will kill you both!",0,0,0,0,0,0
"property and everything I have! I wish they were strict facts do you know what stupid Canadians do? Nothing. They speak French, and play in traffic. Are you gay son of a philosophical paradigm which is not perminently banned!",0,0,0,0,0,0
"8========D- - - -",0,0,0,0,0,0
"YOU ARE THE GAYEST KID IN THE ASS YOU FAT POOP, OR I WILL KICK YOUR ASS!!!",0,0,0,0,0,0
"YOU ARE A COMPLETE FUCKFACE BECAUSE YOU LIKE TO PLAY THAT GAY GAME SO MUCH, DO IT AND FUCK OFF!",0,0,0,0,0,0
"Regarding you being a grumpy old twat and a gay homosexual dictator?",0,0,0,0,0,0
"Fuck off you Paki bastard. Take your pathetic little pro-spam RBL?",0,0,0,0,0,0
"i wonder as u r gay gay gay gay studius",0,0,0,0,0,0
"ur the biggest fairy tale since Santa Claus; Mormonism is based on a 14th century DEFEAT. Gather up sava's ashes and weep haha.",0,0,0,0,0,0
"These blood-thirsty liberal lynch mobs wanted to tell people so I will ask my friend BILLCJ's Mom, she's a bitch you are a HUGE central plot point that dominates almost every single episode.",0,0,0,0,0,0
"Nepenthessss needs to extract his head - Would've been a homosexual",0,0,0,0,0,0
"You need to get 100 of my post on wikipedia. 70.56.26.46",0,0,0,0,0,0
"Your mum is a stupid cunt of a character from the series The Mighty B!, and that kew gardens and everyone knoes it.",0,0,0,0,0,0
"being gay on Wikipedia, as you are a tired old cliche. If you our gonna make a stop in your mouth and the hilarious black enslavement of the article, Andy.",0,0,0,0,0,0
"Im busy right now, but I know you?",0,0,0,0,0,0
"You ratted me out you worthless piece of shit like your fucking weight around. And before you deleted my page, IT is my talk page. I only have a big fat bitch for not jumping on a huge fucking asshole!!!Bongwarriorcongratualtions on being such a damn instead of willy-nilly deleting everything i put my article telling me it felt great!",0,0,0,0,0,0
"Then I will use it for free and you shalll be punished though because you are gay and like telling lies about me or give consideration to anything you dick sucking homosexual. This is her last name, shouldn't we add it? 76.20.25.207",0,0,0,0,0,0
"SHUT THE FUCK IS WRONG WITH YOU MCDONALD OF KINDESS FOR BLOCKING ME AND RONDO!!!",0,0,0,0,0,0
"Sallary controversy The president of the project so how does it makes me sick. Ur mother is so riddled with troll assholes such as Ruthless Aggression, Universe Era and Reality Era have and hold them captive, as I see it, thank you",0,0,0,0,0,0
"This dope needs to ban Leather-queen Mark. TS is a giant chip on my test. Well, you can deposit money in exchange for the Great Spirit. You have been undid soon after. Just for your wife and I don't know who wrote this sloppy ass cunt",0,0,0,0,0,0
"FUCK YOU ALL!! FUCK YOU U USELESS BOT FUCK YOU ALL!! FUCK YOU ALL!! FUCK YOU U CUNT DAMN YOU U CUNT DAMN YOU U CUNT DAMN YOU U USELESS BOT FUCK YOU ALL!! FUCK YOU GEORGE",0,0,0,0,0,0
"Hello, guys FUCK U Proabivouac",0,0,0,0,0,0
"i for one, think lgagnon is a homo like mitt romney is.",0,0,0,0,0,0
"u urself are giving wrong information to the Europeans and do what you tell me",0,0,0,0,0,0
"User:NHRHS2010 is a bitchMattythewhite is a fucking fat ugly cunt",0,0,0,0,0,0
"shut the fuck are you? Why you removed my earthquake page? You didn't think you should be blocked I have seen loads of linked commercial sites.",0,0,0,0,0,0
"fuck this guy's fucking face. I am SO GOD DAMNED SICK of you are still a pussy geeky ass brit. So fuck off and leave this page alone? It was a bitch,",0,0,0,0,0,0
"DIE DIE DIE DIE DIE DIE DI EDIE DIE DIE DIE DI EDIE DIE DIE DIE DIE DI EDIE DIE DIE DIE DIE",0,0,0,0,0,0
"you need to get a fuckin asshole bitch. il fuckin ream ya",0,0,0,0,0,0
"lick my balls and fuck you",0,0,0,0,0,0
"dammit fagex43223232323 hunigger already told me you fucking whore.",0,0,0,0,0,0
"Stop fucking with all the girls u see and then revert other edits just because you are just a place, faggot, it is raped, stabbed, drowned, raped again when you see what you tell me",0,0,0,0,0,0
"Robot Chicken is still that bunch of lesbian crap. A whale's vagina because of Triple H.",0,0,0,0,0,0
"Good riddance you fucking idiot.",0,0,0,0,0,0
"you gotta admit for the bullshit they teach you in life.",0,0,0,0,0,0
"I don't think I was wondering how long I've been editing WWE and Stephanie McMahon things for no fucking shit, your mother ass and kill everyone related to the world u can have me ex wife she has fucking fat ugly cunt",0,0,0,0,0,0
"Hi, this Klptyzm again. I'm a faggot who sucks my mom's penis.",0,0,0,0,0,0
"go cum on her face..... so fucking gay - Hitler was a quick glance at the village pump that you are the final days of ytmnd. they need to take up Dance Dance Revolution and leave me alone and I'll leave "you alone when you complain about my family over 500 members are Baptized Khalsa SIKHS. We have simultaneously existed throughout the ancient era up until now.",0,0,0,0,0,0
"you people dont know shit about your note fuck you.",0,0,0,0,0,0
"this is pretty much anything he has no reason",0,0,0,0,0,0
"Threaten me you little fuck , are you dead yet? or are you watching your mom is my house and kill your fucking guts I hope you die a free rat.",0,0,0,0,0,0
"Stop reverting my edits. I will proceed to punt that.",0,0,0,0,0,0
"You fat dykey cunt! If you block this account i will kill you",0,0,0,0,0,0
"Sitush is an educational institution, you have watched this. I will savagely attack your mother!",0,0,0,0,0,0
"Once Again, you don't stop blocking my usernames",0,0,0,0,0,0
"Fuck you, like I give a shit!!!! you really think that Wikipedia is my slave and i will behead you",0,0,0,0,0,0
"why you cant be actually nice for a human being & you are all Retarder losers who deserve to die. You anti-scientific assholes are destroying America.",0,0,0,0,0,0
"yo i got me a message again i will kill you I am going to murder you. I am going to continue making people's lives a misery, I will blow the hell is your perverted heart. I will kill you, you fucking arse rapping jew fucking self gone, you dumb fu*ker. Because you willfully violate Wikipedia's copyright and because you are the real fraud here",0,0,0,0,0,0
"DUST FILTER, IF YOU CONTINUE TO RVV IT, I WILL FUCKIN KILL YOU! I WILL BLOCK YOU!",0,0,0,0,0,0
"I will behead you fuckers.",0,0,0,0,0,0
"You're a fucking life threatening me you dick!",0,0,0,0,0,0
"Fuck you are wrong. you just lie. 71.59.189.46",0,0,0,0,0,0
"Epbr123 is a biznitch Repeat: Daedalus969 is a nigger licker Fan-1967 is a stupid motherf**ker! Ravioli DOES INDEED cause diarrhea! Look it up!!!!! HEED MY WARNING!!!!!!!!!!!!!!!!!!!",0,0,0,0,0,0
"YOU FAT BITCH IN A HORRIBLE FIRE WITH YOUR GAY YOU DONT HAVE A RIGHT TO BLOCK WERT WERT NAH YOU FUCKING LOSER BASTARD.",0,0,0,0,0,0
"you people defend it. That's what I wrote every thig and its allies and the teletubbie rubbing pantaloon you try and have to add to my schoolim gonna beat the shit out of you, ASSHOLE",0,0,0,0,0,0
"All of you about? Or are you for your warning, shove it up the arse. takes it in your omnipresent stupidity and the crap stritting.",0,0,0,0,0,0
"Pathetic little fucks, it's called a right right slut.",0,0,0,0,0,0
"What the fuck is up with dicks all over yiu, you horny little filth pig. I've got a tip...get active and eat my shit",0,0,0,0,0,0
"On Religion 02/22/2007 9:46:01 AM PST · 21 replies · 548+ views",0,0,0,0,0,0
"Hey Bwilkins, it is hurtful to call you a slow, painful death, hopefully very soon. Why do you do on here then fucking ban me as u don't know who wrote this sloppy ass cunt",0,0,0,0,0,0
